age,annual_income,gender,city_tier,website_visits_last_30d,pages_per_visit,avg_session_duration_min,cart_additions_last_30d,previous_purchases,email_opened,email_clicked,sms_clicked,ad_clicked,campaign_channel,campaign_type,discount_percentage,product_price,days_since_last_purchase,loyalty_member,converted
25,57276,Male,Tier 2,11,1.82,5.03,0,3,1,1,0,0,Email,Discount,5,70.78,124,0,0
64,42617,Female,Tier 2,7,4.01,2.4,2,3,0,0,0,0,SMS,Discount,30,116.59,119,1,1
52,88504,Male,Tier 2,13,5.57,5.79,0,1,0,0,0,1,Social,Retargeting,5,64.09,29,1,0
31,88959,Female,Tier 1,4,2.3,5.58,2,3,1,1,0,0,Search Ads,Retargeting,10,115.71,177,1,0
34,84357,Female,Tier 2,9,6.92,6.83,2,2,1,1,0,0,Email,Discount,25,66.55,164,0,1
53,72216,Male,Tier 3,2,2.38,6.11,1,2,0,0,0,0,Email,Discount,5,129.05,125,0,0
67,43754,Female,Tier 1,5,3.24,6.04,0,3,1,0,0,0,Email,Discount,15,119.33,119,1,0
57,69901,Male,Tier 2,3,5.54,7.77,2,4,1,0,0,0,Search Ads,New Arrival,30,67.43,24,0,1
21,54873,Female,Tier 1,6,6.18,4.98,1,1,1,0,0,1,Search Ads,New Arrival,10,148.26,85,1,1
19,78623,Female,Tier 3,9,4.54,7.18,3,4,1,1,0,0,Social,Discount,20,84.35,128,1,1
23,75086,Male,Tier 3,4,4.5,8.08,2,2,1,0,0,0,Email,Seasonal,0,131.71,167,1,0
59,43313,Male,Tier 2,8,6.68,4.39,0,5,0,0,0,0,SMS,Seasonal,15,46.42,178,1,0
21,72061,Male,Tier 2,8,1.95,4.68,2,1,0,0,0,0,Social,Discount,10,101.16,136,0,0
46,67277,Male,Tier 3,6,1.41,3.96,1,3,0,0,0,0,Search Ads,Discount,20,92.05,82,0,0
35,18000,Male,Tier 1,4,1.11,2.79,2,3,0,0,0,0,SMS,Retargeting,15,68.4,147,1,0
43,69417,Male,Tier 1,10,2.72,9.19,1,3,0,0,0,0,Search Ads,Seasonal,10,108.91,166,1,0
61,47228,Male,Tier 2,5,2.93,11.87,1,5,1,0,1,0,Email,Discount,15,119.18,172,0,1
51,39051,Female,Tier 1,5,4.57,5.92,0,1,1,1,0,0,SMS,Seasonal,5,96.18,26,0,0
27,39821,Male,Tier 1,8,5.51,4.84,1,4,0,0,0,0,Search Ads,Discount,20,91.88,70,0,1
53,52566,Male,Tier 3,4,5.36,8.98,1,2,0,0,0,0,Social,Retargeting,20,88.05,177,0,0
31,63641,Female,Tier 2,9,5.32,6.7,1,2,0,0,0,1,Search Ads,Discount,15,95.81,26,0,0
48,30422,Male,Tier 1,9,2.56,3.99,1,4,1,0,0,1,Search Ads,Seasonal,10,104.09,92,0,0
65,58417,Male,Tier 1,7,4.58,3.74,3,0,0,0,0,0,Social,New Arrival,25,102.58,415,0,0
32,65382,Male,Tier 1,9,2.9,7.14,0,1,0,0,0,1,Email,Retargeting,15,98.27,160,1,0
25,88513,Female,Tier 1,4,4.9,6.27,1,3,0,0,0,1,Social,Discount,10,66.76,162,0,1
31,35620,Female,Tier 1,8,4.06,7.74,2,0,0,0,0,0,Social,Discount,20,110.37,352,0,0
40,48707,Male,Tier 2,10,5.33,6.91,2,3,0,0,0,0,Search Ads,Retargeting,15,97.35,37,0,0
57,59710,Female,Tier 1,7,7.56,3.06,4,4,1,1,0,1,Social,Seasonal,5,91.7,89,1,1
38,75653,Female,Tier 1,4,3.95,3.95,2,5,0,0,0,0,Search Ads,Seasonal,5,73.45,95,0,0
33,49524,Female,Tier 1,7,2.34,3.74,2,2,0,0,0,1,Search Ads,Seasonal,25,109.72,6,0,0
62,76576,Female,Tier 3,8,1.55,5.93,2,2,0,0,0,1,Social,Seasonal,10,18.85,159,0,0
35,20127,Female,Tier 1,8,2.65,5.25,1,2,0,0,0,0,Social,Seasonal,20,78.36,65,0,0
64,32440,Male,Tier 1,7,5.6,4.59,1,2,0,0,0,1,Social,Discount,0,68.38,104,0,0
41,61276,Male,Tier 1,6,4.73,4.88,0,1,0,0,0,0,SMS,Discount,15,65.76,137,0,0
43,29605,Male,Tier 2,6,4.35,6.85,0,4,0,0,0,0,Search Ads,Discount,10,72.16,149,1,0
42,33860,Female,Tier 2,7,4.57,5.14,1,5,1,1,0,0,Social,New Arrival,5,49.06,67,1,0
62,45500,Female,Tier 1,10,5.08,4.14,0,3,0,0,0,0,Search Ads,Seasonal,20,69.66,170,1,0
58,68886,Female,Tier 1,11,1.66,2.89,2,3,0,0,0,0,Social,Retargeting,20,44.72,174,0,0
46,20873,Female,Tier 1,4,5.48,3.69,1,4,0,0,0,1,Social,Retargeting,20,92.43,133,0,0
32,58065,Male,Tier 2,8,4.58,7.64,1,3,0,0,1,0,Social,Seasonal,0,108.26,37,0,0
62,73593,Female,Tier 2,7,1.84,4.16,0,2,0,0,0,0,Social,Seasonal,10,111.54,77,0,0
18,51491,Female,Tier 1,9,4.5,9.13,2,1,0,0,0,0,SMS,Retargeting,10,96.46,29,0,0
42,48361,Female,Tier 1,7,2.05,6.76,0,2,0,0,1,0,SMS,Seasonal,20,63.17,92,0,0
24,62232,Female,Tier 1,3,4.77,3.87,0,2,1,1,0,0,Email,Discount,20,46.84,49,0,0
26,51542,Female,Tier 1,8,4.18,4.27,0,0,0,0,1,0,SMS,New Arrival,15,60.47,844,0,0
41,80029,Male,Tier 2,5,2.49,1.28,2,1,1,0,1,0,Email,New Arrival,20,70.49,138,0,0
18,34995,Female,Tier 1,7,4.62,4.62,1,1,0,0,1,0,SMS,Discount,15,61.09,98,0,0
61,54070,Male,Tier 1,8,5.21,9.4,1,3,1,1,0,1,Search Ads,Discount,15,152.86,15,1,0
25,58702,Female,Tier 1,5,3.14,8.77,1,4,0,0,0,1,Search Ads,Seasonal,0,101.15,158,1,0
41,48188,Female,Tier 3,4,5.17,8.72,1,1,0,0,0,0,Social,New Arrival,15,97.38,55,0,0
28,18000,Male,Tier 3,5,3.58,6.72,1,3,0,0,0,0,Email,New Arrival,15,89.32,55,1,0
68,52104,Female,Tier 1,7,5.31,5.14,0,1,0,1,1,0,SMS,Discount,15,64.92,142,1,0
34,71203,Male,Tier 1,10,3.86,5.7,2,3,0,1,0,0,Social,Seasonal,10,84.13,111,1,0
25,69006,Male,Tier 1,9,5.76,6.59,2,0,0,0,1,0,SMS,Retargeting,10,100.9,363,1,0
52,61386,Male,Tier 1,2,2.63,5.47,3,6,1,1,0,0,Email,Discount,10,108.93,61,0,0
52,35238,Female,Tier 1,1,2.67,3.93,3,5,1,1,0,0,Email,Discount,5,88.92,5,1,0
50,62116,Female,Tier 2,4,2.82,5.36,2,1,0,0,0,0,SMS,Seasonal,20,102.88,6,0,0
22,44678,Female,Tier 2,6,4.19,2.79,3,4,1,0,0,0,Email,Seasonal,15,65.61,141,1,1
59,61363,Male,Tier 3,7,3.77,6.69,1,4,1,1,1,1,Email,New Arrival,15,32.88,168,0,1
56,57187,Female,Tier 1,10,4.43,3.68,0,2,0,0,0,0,Search Ads,Retargeting,15,119.45,13,0,0
58,37425,Female,Tier 3,8,2.25,6.64,1,2,0,0,0,0,Search Ads,Seasonal,10,62.15,46,0,0
45,38936,Male,Tier 2,5,2.92,3.34,1,1,0,0,0,0,Email,Retargeting,20,62.03,97,0,0
24,61390,Male,Tier 1,4,5.91,5.17,2,1,0,0,0,0,Email,Seasonal,25,53.66,128,1,1
26,51020,Male,Tier 1,12,4.56,6.05,1,5,0,0,1,1,Social,New Arrival,15,89.26,151,1,0
25,39875,Female,Tier 1,3,4.94,5.17,0,2,1,0,0,0,Email,Seasonal,10,63.85,149,0,0
29,38389,Female,Tier 1,9,3.62,6.78,2,3,0,0,0,0,Social,New Arrival,5,124.64,72,1,0
51,49531,Female,Tier 1,6,4.44,6.4,1,1,1,0,0,0,SMS,Retargeting,20,123.84,34,1,0
50,83226,Male,Tier 2,5,3.29,4.66,0,5,0,0,0,0,SMS,Discount,15,91.64,53,0,0
65,45531,Female,Tier 1,10,1.22,4.32,1,1,0,0,0,0,Email,Retargeting,30,59.03,31,1,0
40,54748,Male,Tier 3,3,5.55,4.18,0,0,0,0,0,0,Email,Retargeting,15,135.78,406,0,0
41,56830,Male,Tier 1,11,4.27,3.89,3,2,0,0,0,0,Search Ads,New Arrival,10,114.63,88,1,1
54,34642,Female,Tier 3,7,2.9,9.69,0,3,0,0,0,0,Search Ads,New Arrival,15,60.03,127,1,0
52,23269,Male,Tier 1,3,4,4.24,0,2,0,0,0,0,Search Ads,New Arrival,30,92.71,75,0,0
61,36520,Female,Tier 2,10,3.3,7.68,2,1,0,0,0,1,Social,Seasonal,20,88.63,154,1,0
57,59447,Male,Tier 1,3,6.25,5.83,0,4,0,0,0,0,Social,New Arrival,5,97.68,142,0,0
39,56572,Female,Tier 1,9,5.01,4.79,0,2,0,0,0,0,Email,Discount,10,84.44,84,1,0
44,67643,Male,Tier 3,12,2.28,5.89,5,1,0,0,0,0,Social,Discount,10,80.69,100,0,0
52,56741,Female,Tier 1,8,2.07,6.01,1,3,0,0,0,0,Search Ads,Retargeting,25,168.16,153,1,1
18,53028,Male,Tier 2,5,4.38,1.98,4,0,0,0,0,0,Email,New Arrival,15,97.93,538,0,0
52,44128,Male,Tier 2,4,4.2,5.34,1,1,0,0,0,0,SMS,Discount,20,60.53,74,0,0
54,70923,Female,Tier 1,7,4.78,5.51,0,1,1,0,0,0,Email,New Arrival,5,68.38,69,0,0
64,38455,Male,Tier 1,8,3.79,4.84,3,4,0,0,0,1,Search Ads,Seasonal,25,136.88,68,1,1
31,35013,Female,Tier 2,9,3.03,1.25,1,2,0,0,0,1,Social,Seasonal,0,71.55,113,0,0
20,65207,Female,Tier 1,6,4.76,4.84,1,0,0,0,0,0,Search Ads,Discount,10,53.81,583,1,0
18,31003,Male,Tier 2,3,4.89,8.73,3,0,1,0,0,0,Email,Discount,0,83.66,561,0,0
22,98466,Male,Tier 3,7,5.89,6.6,1,1,0,0,0,0,Search Ads,Discount,5,76.54,43,1,1
43,56440,Female,Tier 1,10,5.1,3.39,1,1,1,0,0,0,Email,Seasonal,30,124.2,133,0,1
31,61262,Female,Tier 1,9,2.74,7.29,0,3,0,0,0,0,Email,Discount,0,129.93,93,1,0
56,40448,Female,Tier 2,6,4.38,3.29,0,4,0,0,0,0,Email,Discount,5,73.47,110,1,1
44,49325,Female,Tier 1,10,3.57,6.04,3,2,0,0,0,0,Email,Discount,25,107.25,160,0,0
26,47318,Female,Tier 1,7,2.58,6.05,1,0,0,0,0,1,Email,Seasonal,20,78.53,992,1,0
32,45247,Male,Tier 1,4,1.32,4.77,2,2,0,0,0,0,SMS,Retargeting,10,58.34,171,0,0
32,66393,Female,Tier 2,7,7.37,7.58,0,3,0,0,0,1,Search Ads,Retargeting,0,136.37,108,0,1
43,46908,Female,Tier 1,5,3.16,7.01,1,1,0,0,1,1,Search Ads,Retargeting,20,141.23,71,0,1
59,73315,Male,Tier 1,5,3.81,3.95,0,1,1,0,0,0,Social,Retargeting,15,93.29,150,0,0
30,102937,Male,Tier 2,8,4.33,4.92,1,6,1,0,0,1,Email,Retargeting,10,64.01,41,1,0
68,49680,Male,Tier 1,7,4.17,3.79,2,8,1,0,0,0,Email,Discount,10,53.48,58,0,0
49,57742,Male,Tier 1,8,1,4.35,2,4,0,0,0,0,SMS,Retargeting,15,102.77,28,0,0
56,61831,Female,Tier 3,11,3.75,6.8,2,0,0,0,0,1,Search Ads,Retargeting,15,122.95,392,0,0
66,87607,Male,Tier 2,8,6.66,5.47,1,1,1,0,0,1,Social,Retargeting,20,87.58,55,1,1
69,53512,Male,Tier 3,4,3.68,7.56,2,4,0,0,0,0,Social,Discount,20,116.26,51,0,1
49,40078,Male,Tier 1,8,6.45,2.34,0,2,1,0,0,0,Email,Discount,20,77.06,36,0,0
21,32206,Female,Tier 2,6,4.05,6.05,0,3,0,0,1,0,SMS,Seasonal,20,66.77,171,0,1
47,53956,Female,Tier 1,14,3.47,7.16,0,2,0,0,0,0,Social,Retargeting,20,91.34,6,1,0
54,46929,Male,Tier 1,6,4.22,5.7,0,1,0,0,0,0,Social,Retargeting,20,23.41,51,1,0
40,91180,Male,Tier 1,11,4.06,2.77,1,1,1,0,0,0,Email,Retargeting,25,69.21,122,1,0
56,86858,Female,Tier 1,3,4.02,3.4,0,1,0,0,0,0,Email,Discount,15,108.42,53,0,0
62,36381,Female,Tier 3,4,3.13,7.32,3,2,0,0,0,1,Search Ads,Discount,15,11.04,139,1,1
32,42206,Male,Tier 1,7,1.95,4.43,5,3,0,0,0,0,Social,New Arrival,20,45.38,178,1,0
60,56328,Male,Tier 2,6,4.84,3.94,0,0,0,0,0,0,Social,New Arrival,5,79.94,737,1,0
46,80150,Male,Tier 2,3,4.14,4.82,1,3,1,0,0,0,Email,Seasonal,20,48.19,82,0,1
53,56026,Male,Tier 2,11,6.5,4.99,4,1,1,0,1,1,Social,Discount,25,69.72,174,0,1
30,43350,Female,Tier 1,3,3.95,7.87,0,0,0,0,0,0,SMS,Discount,10,22.96,220,0,0
49,53940,Female,Tier 2,6,1.73,2.01,1,2,1,0,0,1,Email,Discount,15,103.24,51,1,1
24,43687,Female,Tier 1,4,4.48,6.65,2,2,0,1,1,0,SMS,New Arrival,0,116.84,11,1,0
68,65845,Female,Tier 1,6,4.11,8.42,0,0,0,0,0,0,SMS,Discount,20,38.48,998,0,0
39,42237,Male,Tier 3,4,3.35,7.39,0,3,1,1,0,0,Email,Discount,15,90.44,27,0,0
45,45812,Female,Tier 1,9,4.93,10.15,1,0,1,0,0,0,Email,Discount,20,78.03,740,1,1
19,75915,Female,Tier 1,10,4.75,4.59,0,3,1,1,0,1,Social,Discount,5,97.9,16,0,1
59,41169,Male,Tier 3,3,2.2,7.28,2,2,0,0,0,0,SMS,Discount,20,128.26,50,0,0
62,28970,Male,Tier 1,4,3.3,5.33,2,0,1,0,0,0,Email,New Arrival,10,49.74,617,0,0
23,56710,Female,Tier 2,11,5.64,4.46,1,2,0,0,0,0,Search Ads,New Arrival,20,121.81,14,1,1
45,48511,Male,Tier 1,9,2.53,1.06,3,2,0,0,0,1,Social,Discount,15,134.75,26,0,0
45,64205,Male,Tier 1,5,3.74,4.57,2,4,0,0,0,1,Search Ads,New Arrival,20,32.02,40,1,1
61,60714,Female,Tier 1,12,4.34,7.63,3,3,0,0,0,0,Social,Seasonal,0,113.72,18,0,0
61,54425,Female,Tier 1,9,2.27,2.07,2,1,1,1,0,0,Email,Discount,20,58.27,154,1,1
37,53901,Male,Tier 1,7,3.85,9.7,1,1,0,0,0,0,Search Ads,Seasonal,20,103.23,110,0,1
47,41755,Female,Tier 2,6,3.8,6.32,0,3,1,1,0,0,Email,Discount,15,60.52,146,1,1
28,56500,Male,Tier 2,9,3.51,3.29,0,2,0,0,0,1,Social,Discount,10,67.48,1,0,0
45,70863,Female,Tier 3,8,1.7,5.96,1,3,1,1,0,0,Email,Discount,10,64.6,16,1,1
42,37478,Female,Tier 1,4,4,6.87,1,0,0,0,1,0,Social,Discount,25,55.19,536,0,0
56,54903,Female,Tier 2,4,3.07,4.52,1,3,0,0,0,0,Search Ads,Retargeting,20,106.51,149,1,0
50,73691,Male,Tier 2,7,5.6,4.25,0,2,0,0,0,1,Social,Discount,20,98.56,119,0,0
18,64098,Female,Tier 3,5,4.62,9.45,0,5,0,0,1,0,SMS,Seasonal,25,99.31,131,0,0
44,78571,Female,Tier 1,7,2.83,4.82,1,1,0,0,0,0,Search Ads,Retargeting,10,73,8,0,0
69,44773,Male,Tier 2,1,3.41,5.21,1,3,0,0,0,0,Email,New Arrival,15,76.02,99,0,1
30,22046,Male,Tier 3,3,4.19,8.15,0,4,1,1,0,1,Email,Retargeting,20,95.28,18,0,1
58,58612,Male,Tier 1,6,3.4,5.35,1,6,0,0,0,1,Search Ads,Retargeting,30,59.81,90,0,1
20,61526,Male,Tier 3,5,1.73,7.03,4,3,0,1,0,1,Social,Discount,15,69.3,25,0,0
56,79632,Female,Tier 1,9,4.44,4.56,2,4,0,0,0,0,Social,Discount,10,111.73,18,0,1
23,76387,Male,Tier 2,3,4.79,4.1,1,3,0,0,0,0,Social,New Arrival,0,95.66,24,0,0
25,64661,Male,Tier 3,12,5.11,6.26,0,4,0,0,0,0,Email,Discount,0,118.73,69,0,0
44,68777,Female,Tier 2,2,5.41,3.54,2,2,0,0,0,0,Email,Discount,15,10,154,1,0
26,51547,Male,Tier 1,10,2.76,6.31,1,2,0,0,0,0,Email,Retargeting,5,128.01,74,1,0
54,33056,Female,Tier 1,4,5.18,3.66,0,1,0,0,0,0,Email,New Arrival,0,111.73,11,0,0
50,57119,Male,Tier 3,11,2.29,6.3,1,1,0,0,0,0,SMS,Discount,30,112.29,4,1,0
68,72686,Female,Tier 1,4,4.54,7.97,1,0,0,0,1,0,SMS,Discount,30,35.55,189,1,1
59,66814,Female,Tier 1,8,2.94,1.51,3,2,0,0,0,0,Social,Discount,10,67.36,101,0,1
61,70009,Female,Tier 2,9,4.63,4.68,0,2,0,0,0,0,Email,Discount,20,71.18,12,0,0
41,47300,Male,Tier 1,4,1.74,1.58,3,3,1,0,0,0,Email,New Arrival,25,88.98,74,1,0
32,50220,Female,Tier 1,5,4.81,4.91,1,4,0,1,0,1,SMS,New Arrival,15,137.23,140,0,1
49,63702,Male,Tier 1,7,2.82,6.17,2,4,0,0,0,1,SMS,Discount,10,90.1,133,0,1
49,45163,Male,Tier 1,9,4.72,4.82,2,3,1,0,0,0,Email,Discount,5,119.13,91,0,0
41,45717,Male,Tier 2,9,4.56,1.22,0,4,1,0,0,0,Social,New Arrival,5,125.74,5,0,0
58,60364,Female,Tier 2,1,4.58,7.3,1,2,0,0,0,0,Email,Discount,20,104.64,23,1,0
69,68696,Male,Tier 2,6,4.07,2.58,2,3,0,0,0,0,Email,Discount,10,90.66,46,0,1
66,51408,Female,Tier 3,11,2.25,7.17,1,1,0,0,0,1,Search Ads,New Arrival,20,121.09,130,0,0
66,34063,Male,Tier 3,8,6.24,4.01,0,5,1,0,0,0,Email,Discount,15,36.6,126,0,1
69,41756,Male,Tier 2,6,3.81,3.76,1,3,0,0,0,1,Search Ads,Seasonal,10,102.87,94,0,0
29,58666,Female,Tier 1,9,3.8,5.52,2,4,0,0,0,0,Search Ads,Retargeting,5,129.87,74,0,1
56,58447,Male,Tier 2,6,6.08,7.63,1,1,1,0,0,1,Social,New Arrival,10,88.24,1,0,0
19,59342,Female,Tier 1,8,2.67,9.41,1,1,0,0,0,1,Social,Discount,25,101.47,141,0,1
20,64383,Male,Tier 2,6,3.93,4.68,0,3,0,0,1,0,Search Ads,Discount,20,114.48,36,0,1
66,55105,Female,Tier 2,9,4.25,2.9,1,2,0,0,0,1,Search Ads,Discount,0,72.46,62,0,0
54,59771,Female,Tier 1,8,3.65,6.19,2,2,0,0,0,0,Social,Discount,5,174.06,63,0,0
66,54190,Male,Tier 3,6,4.41,2.82,0,2,0,0,0,0,Email,New Arrival,20,47.47,67,1,0
34,75677,Male,Tier 1,4,3.13,6.99,0,4,1,1,0,0,Email,Discount,10,27.25,108,1,1
66,80782,Female,Tier 2,5,3.9,6.39,0,2,0,0,0,0,Email,Seasonal,20,104.49,16,1,1
19,33598,Female,Tier 1,4,4.2,8.21,2,3,0,0,0,0,Email,Seasonal,15,64.72,168,1,1
19,50405,Male,Tier 3,7,6.05,7.61,1,3,1,1,0,0,Email,Retargeting,20,88.46,48,1,0
45,55589,Male,Tier 1,4,6.48,5.78,1,1,0,0,0,0,Social,Seasonal,0,91.28,111,0,1
40,50196,Female,Tier 1,13,4.25,5.56,3,6,0,0,0,0,Social,Discount,25,96.34,174,0,0
54,87273,Female,Tier 1,13,5.8,3.73,3,0,0,0,0,0,Social,Retargeting,0,43.46,696,0,0
49,59031,Male,Tier 1,10,2.91,3.69,2,3,0,0,0,0,Email,Discount,0,60.45,153,0,0
50,40503,Female,Tier 1,3,7.38,5.42,1,1,1,0,0,0,Email,Seasonal,10,116.96,38,0,0
18,65736,Male,Tier 2,9,3.63,3.35,2,2,0,0,0,0,Social,Retargeting,30,66.42,81,0,0
36,59878,Female,Tier 1,5,3.95,4.96,0,1,0,0,0,0,SMS,Discount,0,78.97,82,0,0
19,60475,Male,Tier 1,5,4.8,4.56,1,2,0,0,0,1,Social,Retargeting,25,64.99,173,1,0
61,87542,Female,Tier 1,9,5.28,6.69,0,3,0,0,0,0,SMS,Discount,5,96.56,113,0,0
43,61314,Female,Tier 3,7,3.74,5.46,2,6,1,0,0,0,Search Ads,New Arrival,5,69.14,167,0,0
49,49534,Female,Tier 2,4,1,7.49,1,0,1,0,0,0,Social,Seasonal,20,130.42,847,1,0
